institution_key,institution_name,academic_unit_key,academic_unit_name,program_key,program_name,plan_code,plan_valid_from,plan_valid_to,requirement_ordinal,subject_code,subject_name,requirement_type,curriculum_year,year_source,term,is_annual,min_options,max_options,label_truncated,elective_for,needs_review,source_type,source_reference
SYN-U,Universidad SYN (sintética),SYN-FAC,Facultad de Ingeniería SYN,SYN-ING-A,Ingeniería Sintética,SYN-2016,2016-03-01,,1,SA001,Introducción al Cálculo,COURSE,1,declarado en el dataset sintético,1,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-U,Universidad SYN (sintética),SYN-FAC,Facultad de Ingeniería SYN,SYN-ING-A,Ingeniería Sintética,SYN-2016,2016-03-01,,2,SA002,Álgebra Sintética,COURSE,1,declarado en el dataset sintético,1,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-U,Universidad SYN (sintética),SYN-FAC,Facultad de Ingeniería SYN,SYN-ING-A,Ingeniería Sintética,SYN-2016,2016-03-01,,3,SA003,Fundamentos de Programación,COURSE,1,declarado en el dataset sintético,2,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-U,Universidad SYN (sintética),SYN-FAC,Facultad de Ingeniería SYN,SYN-ING-A,Ingeniería Sintética,SYN-2016,2016-03-01,,4,SA004,Introducción a la Ingeniería,COURSE,1,declarado en el dataset sintético,2,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-U,Universidad SYN (sintética),SYN-FAC,Facultad de Ingeniería SYN,SYN-ING-A,Ingeniería Sintética,SYN-2016,2016-03-01,,5,SA005,Comunicación Técnica,COURSE,1,declarado en el dataset sintético,anual,true,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-U,Universidad SYN (sintética),SYN-FAC,Facultad de Ingeniería SYN,SYN-ING-A,Ingeniería Sintética,SYN-2016,2016-03-01,,6,SA006,Cálculo Avanzado,COURSE,2,declarado en el dataset sintético,1,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-U,Universidad SYN (sintética),SYN-FAC,Facultad de Ingeniería SYN,SYN-ING-A,Ingeniería Sintética,SYN-2016,2016-03-01,,7,SA007,Estructuras de Datos,COURSE,2,declarado en el dataset sintético,1,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-U,Universidad SYN (sintética),SYN-FAC,Facultad de Ingeniería SYN,SYN-ING-A,Ingeniería Sintética,SYN-2016,2016-03-01,,8,SA008,Física Sintética,COURSE,2,declarado en el dataset sintético,2,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-U,Universidad SYN (sintética),SYN-FAC,Facultad de Ingeniería SYN,SYN-ING-A,Ingeniería Sintética,SYN-2016,2016-03-01,,9,SA009,Probabilidad Aplicada,COURSE,2,declarado en el dataset sintético,2,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-U,Universidad SYN (sintética),SYN-FAC,Facultad de Ingeniería SYN,SYN-ING-A,Ingeniería Sintética,SYN-2016,2016-03-01,,10,SA010,Diseño de Sistemas,COURSE,2,declarado en el dataset sintético,anual,true,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-U,Universidad SYN (sintética),SYN-FAC,Facultad de Ingeniería SYN,SYN-ING-A,Ingeniería Sintética,SYN-2016,2016-03-01,,11,SA011,Bases de Datos,COURSE,3,declarado en el dataset sintético,1,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-U,Universidad SYN (sintética),SYN-FAC,Facultad de Ingeniería SYN,SYN-ING-A,Ingeniería Sintética,SYN-2016,2016-03-01,,12,SA012,Redes Sintéticas,COURSE,3,declarado en el dataset sintético,1,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-U,Universidad SYN (sintética),SYN-FAC,Facultad de Ingeniería SYN,SYN-ING-A,Ingeniería Sintética,SYN-2016,2016-03-01,,13,SA013,Ingeniería de Software,COURSE,3,declarado en el dataset sintético,2,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
