institution_key,institution_name,academic_unit_key,academic_unit_name,program_key,program_name,plan_code,plan_valid_from,plan_valid_to,requirement_ordinal,subject_code,subject_name,requirement_type,curriculum_year,year_source,term,is_annual,min_options,max_options,label_truncated,elective_for,needs_review,source_type,source_reference
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,1,00243,ANALISIS MATEMATICO I,COURSE,1,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,2,00244,ALGEBRA Y GEOMETRIA,COURSE,1,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,3,00245,FISICA I,COURSE,1,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,4,00327,PENSAMIENTO FILOSOFICO,COURSE,1,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,5,10181,LOGICA Y MATEMATICA DISCRETA,COURSE,1,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,6,10095,FUNDAMENTOS DE PROGRAMACIO…,COURSE,1,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,true,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,7,20094,INTRODUCCION A LA INGENIERIA,COURSE,1,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,8,20133,SISTEMAS DE REPRESENTACION,COURSE,1,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,9,20189,PROGRAMACION I,COURSE,1,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,false,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
UCC,Universidad Católica de Córdoba,,,08,INGENIERIA DE SISTEMAS,2016,,,10,20160,LABORATORIO DE COMPUTACION (…,COURSE,1,agrupamiento visible en el analítico; encabezado de columna no legible,,,,,true,,true,student,analítico de estudios · transcripción anonimizada · 4 sep 2026
